Age Groups,فئات السن,Highest Educational Level, أعلى مؤهل علمي ,Nationality,الجنسية,Sex,الجنس,Population
55 - 59,55 - 59,Above Secondary / Diploma,فوق الثانوي / دبلوم,Bahraini,بحريني,Female,أنثى,394
25 - 29,25 - 29,Bachelor,بكالوريوس,Bahraini,بحريني,Female,أنثى,12357
40 - 44,40 - 44,Bachelor,بكالوريوس,Bahraini,بحريني,Female,أنثى,5950
45 - 49,45 - 49,Bachelor,بكالوريوس,Bahraini,بحريني,Female,أنثى,4181
40 - 44,40 - 44,High Diploma,دبلوم عالي,Bahraini,بحريني,Female,أنثى,695
65 Years & Above,65 سنة فأكثر,High Diploma,دبلوم عالي,Bahraini,بحريني,Female,أنثى,225
25 - 29,25 - 29,Masters,ماجستير,Bahraini,بحريني,Female,أنثى,284
30 - 34,30 - 34,Masters,ماجستير,Bahraini,بحريني,Female,أنثى,737
45 - 49,45 - 49,Masters,ماجستير,Bahraini,بحريني,Female,أنثى,345
60 - 64,60 - 64,Masters,ماجستير,Bahraini,بحريني,Female,أنثى,123
15 - 19,15 - 19,Doctorate,دكتوراه,Bahraini,بحريني,Female,أنثى,0
25 - 29,25 - 29,Doctorate,دكتوراه,Bahraini,بحريني,Female,أنثى,18
30 - 34,30 - 34,Doctorate,دكتوراه,Bahraini,بحريني,Female,أنثى,39
40 - 44,40 - 44,Doctorate,دكتوراه,Bahraini,بحريني,Female,أنثى,70
45 - 49,45 - 49,Doctorate,دكتوراه,Bahraini,بحريني,Female,أنثى,61
50 - 54,50 - 54,Doctorate,دكتوراه,Bahraini,بحريني,Female,أنثى,64
55 - 59,55 - 59,Doctorate,دكتوراه,Bahraini,بحريني,Female,أنثى,49
55 - 59,55 - 59,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Male,ذكر,29
25 - 29,25 - 29,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Male,ذكر,2108
55 - 59,55 - 59,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Male,ذكر,499
60 - 64,60 - 64,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Male,ذكر,227
15 - 19,15 - 19,Primary,ابتدائي,Non-Bahraini,غير بحريني,Male,ذكر,837
45 - 49,45 - 49,Primary,ابتدائي,Non-Bahraini,غير بحريني,Male,ذكر,4317
50 - 54,50 - 54,Primary,ابتدائي,Non-Bahraini,غير بحريني,Male,ذكر,2171
60 - 64,60 - 64,Primary,ابتدائي,Non-Bahraini,غير بحريني,Male,ذكر,22
15 - 19,15 - 19,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Male,ذكر,4022
30 - 34,30 - 34,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Male,ذكر,26497
35 - 39,35 - 39,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Male,ذكر,17929
