Age Groups,فئات السن,Highest Educational Level, أعلى مؤهل علمي ,Nationality,الجنسية,Sex,الجنس,Population
60 - 64,60 - 64,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Male,ذكر,410
60 - 64,60 - 64,Masters,ماجستير,Non-Bahraini,غير بحريني,Male,ذكر,299
30 - 34,30 - 34,Doctorate,دكتوراه,Non-Bahraini,غير بحريني,Male,ذكر,108
35 - 39,35 - 39,Doctorate,دكتوراه,Non-Bahraini,غير بحريني,Male,ذكر,180
40 - 44,40 - 44,Doctorate,دكتوراه,Non-Bahraini,غير بحريني,Male,ذكر,158
50 - 54,50 - 54,Doctorate,دكتوراه,Non-Bahraini,غير بحريني,Male,ذكر,137
55 - 59,55 - 59,Doctorate,دكتوراه,Non-Bahraini,غير بحريني,Male,ذكر,115
60 - 64,60 - 64,Doctorate,دكتوراه,Non-Bahraini,غير بحريني,Male,ذكر,82
15 - 19,15 - 19,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Female,أنثى,48
25 - 29,25 - 29,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Female,أنثى,455
55 - 59,55 - 59,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Female,أنثى,305
15 - 19,15 - 19,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Female,أنثى,225
35 - 39,35 - 39,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Female,أنثى,3037
45 - 49,45 - 49,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Female,أنثى,264
55 - 59,55 - 59,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Female,أنثى,102
60 - 64,60 - 64,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Female,أنثى,75
40 - 44,40 - 44,Primary,ابتدائي,Non-Bahraini,غير بحريني,Female,أنثى,2285
45 - 49,45 - 49,Primary,ابتدائي,Non-Bahraini,غير بحريني,Female,أنثى,2100
25 - 29,25 - 29,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Female,أنثى,5581
30 - 34,30 - 34,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Female,أنثى,5045
50 - 54,50 - 54,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Female,أنثى,2177
55 - 59,55 - 59,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Female,أنثى,1476
15 - 19,15 - 19,Secondary,ثانوي,Non-Bahraini,غير بحريني,Female,أنثى,2218
25 - 29,25 - 29,Secondary,ثانوي,Non-Bahraini,غير بحريني,Female,أنثى,6313
35 - 39,35 - 39,Secondary,ثانوي,Non-Bahraini,غير بحريني,Female,أنثى,6128
40 - 44,40 - 44,Secondary,ثانوي,Non-Bahraini,غير بحريني,Female,أنثى,8655
65 Years & Above,65 سنة فأكثر,Secondary,ثانوي,Non-Bahraini,غير بحريني,Female,أنثى,1350
25 - 29,25 - 29,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Female,أنثى,2144
40 - 44,40 - 44,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Female,أنثى,2059
60 - 64,60 - 64,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Female,أنثى,309
65 Years & Above,65 سنة فأكثر,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Female,أنثى,187
20 - 24,20 - 24,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Female,أنثى,1511
50 - 54,50 - 54,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Female,أنثى,1208
55 - 59,55 - 59,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Female,أنثى,797
60 - 64,60 - 64,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Female,أنثى,382
30 - 34,30 - 34,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Female,أنثى,1505
35 - 39,35 - 39,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Female,أنثى,1450
60 - 64,60 - 64,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Female,أنثى,81
40 - 44,40 - 44,Masters,ماجستير,Non-Bahraini,غير بحريني,Female,أنثى,315
45 - 49,45 - 49,Masters,ماجستير,Non-Bahraini,غير بحريني,Female,أنثى,199
50 - 54,50 - 54,Masters,ماجستير,Non-Bahraini,غير بحريني,Female,أنثى,131
65 Years & Above,65 سنة فأكثر,Masters,ماجستير,Non-Bahraini,غير بحريني,Female,أنثى,48
15 - 19,15 - 19,Doctorate,دكتوراه,Non-Bahraini,غير بحريني,Female,أنثى,0
25 - 29,25 - 29,Doctorate,دكتوراه,Non-Bahraini,غير بحريني,Female,أنثى,7
30 - 34,30 - 34,Doctorate,دكتوراه,Non-Bahraini,غير بحريني,Female,أنثى,27
35 - 39,35 - 39,Doctorate,دكتوراه,Non-Bahraini,غير بحريني,Female,أنثى,43
40 - 44,40 - 44,Doctorate,دكتوراه,Non-Bahraini,غير بحريني,Female,أنثى,56
55 - 59,55 - 59,Doctorate,دكتوراه,Non-Bahraini,غير بحريني,Female,أنثى,19
35 - 39,35 - 39,Illiterate / Read Only,أمي / يقرأ فقط,Bahraini,بحريني,Male,ذكر,64
50 - 54,50 - 54,Illiterate / Read Only,أمي / يقرأ فقط,Bahraini,بحريني,Male,ذكر,74
65 Years & Above,65 سنة فأكثر,Illiterate / Read Only,أمي / يقرأ فقط,Bahraini,بحريني,Male,ذكر,2731
15 - 19,15 - 19,Read & Write,يقرأ ويكتب,Bahraini,بحريني,Male,ذكر,388
20 - 24,20 - 24,Read & Write,يقرأ ويكتب,Bahraini,بحريني,Male,ذكر,868
45 - 49,45 - 49,Read & Write,يقرأ ويكتب,Bahraini,بحريني,Male,ذكر,354
60 - 64,60 - 64,Read & Write,يقرأ ويكتب,Bahraini,بحريني,Male,ذكر,1916
25 - 29,25 - 29,Primary,ابتدائي,Bahraini,بحريني,Male,ذكر,1126
30 - 34,30 - 34,Primary,ابتدائي,Bahraini,بحريني,Male,ذكر,1453
40 - 44,40 - 44,Primary,ابتدائي,Bahraini,بحريني,Male,ذكر,1754
50 - 54,50 - 54,Primary,ابتدائي,Bahraini,بحريني,Male,ذكر,1954
55 - 59,55 - 59,Primary,ابتدائي,Bahraini,بحريني,Male,ذكر,2021
60 - 64,60 - 64,Primary,ابتدائي,Bahraini,بحريني,Male,ذكر,994
15 - 19,15 - 19,Preparatory,إعدادي,Bahraini,بحريني,Male,ذكر,20171
25 - 29,25 - 29,Preparatory,إعدادي,Bahraini,بحريني,Male,ذكر,2135
30 - 34,30 - 34,Preparatory,إعدادي,Bahraini,بحريني,Male,ذكر,1695
35 - 39,35 - 39,Preparatory,إعدادي,Bahraini,بحريني,Male,ذكر,1621
40 - 44,40 - 44,Preparatory,إعدادي,Bahraini,بحريني,Male,ذكر,1659
55 - 59,55 - 59,Preparatory,إعدادي,Bahraini,بحريني,Male,ذكر,2005
60 - 64,60 - 64,Preparatory,إعدادي,Bahraini,بحريني,Male,ذكر,1714
65 Years & Above,65 سنة فأكثر,Preparatory,إعدادي,Bahraini,بحريني,Male,ذكر,2129
30 - 34,30 - 34,Secondary,ثانوي,Bahraini,بحريني,Male,ذكر,10910
40 - 44,40 - 44,Secondary,ثانوي,Bahraini,بحريني,Male,ذكر,10052
45 - 49,45 - 49,Secondary,ثانوي,Bahraini,بحريني,Male,ذكر,9224
65 Years & Above,65 سنة فأكثر,Secondary,ثانوي,Bahraini,بحريني,Male,ذكر,7893
30 - 34,30 - 34,Above Secondary / Diploma,فوق الثانوي / دبلوم,Bahraini,بحريني,Male,ذكر,2583
30 - 34,30 - 34,Bachelor,بكالوريوس,Bahraini,بحريني,Male,ذكر,8943
40 - 44,40 - 44,Bachelor,بكالوريوس,Bahraini,بحريني,Male,ذكر,4372
35 - 39,35 - 39,High Diploma,دبلوم عالي,Bahraini,بحريني,Male,ذكر,554
55 - 59,55 - 59,High Diploma,دبلوم عالي,Bahraini,بحريني,Male,ذكر,330
60 - 64,60 - 64,High Diploma,دبلوم عالي,Bahraini,بحريني,Male,ذكر,276
65 Years & Above,65 سنة فأكثر,High Diploma,دبلوم عالي,Bahraini,بحريني,Male,ذكر,468
15 - 19,15 - 19,Masters,ماجستير,Bahraini,بحريني,Male,ذكر,0
20 - 24,20 - 24,Masters,ماجستير,Bahraini,بحريني,Male,ذكر,24
25 - 29,25 - 29,Masters,ماجستير,Bahraini,بحريني,Male,ذكر,273
45 - 49,45 - 49,Masters,ماجستير,Bahraini,بحريني,Male,ذكر,494
60 - 64,60 - 64,Masters,ماجستير,Bahraini,بحريني,Male,ذكر,306
30 - 34,30 - 34,Doctorate,دكتوراه,Bahraini,بحريني,Male,ذكر,26
65 Years & Above,65 سنة فأكثر,Doctorate,دكتوراه,Bahraini,بحريني,Male,ذكر,285
15 - 19,15 - 19,Illiterate / Read Only,أمي / يقرأ فقط,Bahraini,بحريني,Female,أنثى,25
30 - 34,30 - 34,Illiterate / Read Only,أمي / يقرأ فقط,Bahraini,بحريني,Female,أنثى,195
55 - 59,55 - 59,Illiterate / Read Only,أمي / يقرأ فقط,Bahraini,بحريني,Female,أنثى,1129
60 - 64,60 - 64,Illiterate / Read Only,أمي / يقرأ فقط,Bahraini,بحريني,Female,أنثى,1491
25 - 29,25 - 29,Read & Write,يقرأ ويكتب,Bahraini,بحريني,Female,أنثى,829
50 - 54,50 - 54,Read & Write,يقرأ ويكتب,Bahraini,بحريني,Female,أنثى,1885
55 - 59,55 - 59,Read & Write,يقرأ ويكتب,Bahraini,بحريني,Female,أنثى,2843
15 - 19,15 - 19,Primary,ابتدائي,Bahraini,بحريني,Female,أنثى,1519
35 - 39,35 - 39,Primary,ابتدائي,Bahraini,بحريني,Female,أنثى,786
65 Years & Above,65 سنة فأكثر,Primary,ابتدائي,Bahraini,بحريني,Female,أنثى,1011
65 Years & Above,65 سنة فأكثر,Preparatory,إعدادي,Bahraini,بحريني,Female,أنثى,844
20 - 24,20 - 24,Secondary,ثانوي,Bahraini,بحريني,Female,أنثى,12531
30 - 34,30 - 34,Secondary,ثانوي,Bahraini,بحريني,Female,أنثى,8832
35 - 39,35 - 39,Secondary,ثانوي,Bahraini,بحريني,Female,أنثى,8259
50 - 54,50 - 54,Secondary,ثانوي,Bahraini,بحريني,Female,أنثى,7845
65 Years & Above,65 سنة فأكثر,Secondary,ثانوي,Bahraini,بحريني,Female,أنثى,5429
15 - 19,15 - 19,Above Secondary / Diploma,فوق الثانوي / دبلوم,Bahraini,بحريني,Female,أنثى,834
20 - 24,20 - 24,Above Secondary / Diploma,فوق الثانوي / دبلوم,Bahraini,بحريني,Female,أنثى,3001
40 - 44,40 - 44,Above Secondary / Diploma,فوق الثانوي / دبلوم,Bahraini,بحريني,Female,أنثى,1149
50 - 54,50 - 54,Above Secondary / Diploma,فوق الثانوي / دبلوم,Bahraini,بحريني,Female,أنثى,541
15 - 19,15 - 19,Bachelor,بكالوريوس,Bahraini,بحريني,Female,أنثى,0
30 - 34,30 - 34,Bachelor,بكالوريوس,Bahraini,بحريني,Female,أنثى,8927
35 - 39,35 - 39,Bachelor,بكالوريوس,Bahraini,بحريني,Female,أنثى,8385
50 - 54,50 - 54,Bachelor,بكالوريوس,Bahraini,بحريني,Female,أنثى,2403
55 - 59,55 - 59,Bachelor,بكالوريوس,Bahraini,بحريني,Female,أنثى,1860
65 Years & Above,65 سنة فأكثر,Bachelor,بكالوريوس,Bahraini,بحريني,Female,أنثى,866
30 - 34,30 - 34,High Diploma,دبلوم عالي,Bahraini,بحريني,Female,أنثى,846
35 - 39,35 - 39,High Diploma,دبلوم عالي,Bahraini,بحريني,Female,أنثى,581
60 - 64,60 - 64,High Diploma,دبلوم عالي,Bahraini,بحريني,Female,أنثى,295
20 - 24,20 - 24,Masters,ماجستير,Bahraini,بحريني,Female,أنثى,34
50 - 54,50 - 54,Masters,ماجستير,Bahraini,بحريني,Female,أنثى,240
55 - 59,55 - 59,Masters,ماجستير,Bahraini,بحريني,Female,أنثى,176
65 Years & Above,65 سنة فأكثر,Masters,ماجستير,Bahraini,بحريني,Female,أنثى,104
20 - 24,20 - 24,Doctorate,دكتوراه,Bahraini,بحريني,Female,أنثى,1
65 Years & Above,65 سنة فأكثر,Doctorate,دكتوراه,Bahraini,بحريني,Female,أنثى,61
25 - 29,25 - 29,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Male,ذكر,637
35 - 39,35 - 39,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Male,ذكر,436
30 - 34,30 - 34,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Male,ذكر,3301
45 - 49,45 - 49,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Male,ذكر,1410
25 - 29,25 - 29,Primary,ابتدائي,Non-Bahraini,غير بحريني,Male,ذكر,12869
30 - 34,30 - 34,Primary,ابتدائي,Non-Bahraini,غير بحريني,Male,ذكر,26209
65 Years & Above,65 سنة فأكثر,Primary,ابتدائي,Non-Bahraini,غير بحريني,Male,ذكر,19
45 - 49,45 - 49,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Male,ذكر,5433
50 - 54,50 - 54,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Male,ذكر,2874
55 - 59,55 - 59,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Male,ذكر,879
60 - 64,60 - 64,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Male,ذكر,619
30 - 34,30 - 34,Secondary,ثانوي,Non-Bahraini,غير بحريني,Male,ذكر,34071
35 - 39,35 - 39,Secondary,ثانوي,Non-Bahraini,غير بحريني,Male,ذكر,36350
40 - 44,40 - 44,Secondary,ثانوي,Non-Bahraini,غير بحريني,Male,ذكر,31381
45 - 49,45 - 49,Secondary,ثانوي,Non-Bahraini,غير بحريني,Male,ذكر,23809
55 - 59,55 - 59,Secondary,ثانوي,Non-Bahraini,غير بحريني,Male,ذكر,8681
65 Years & Above,65 سنة فأكثر,Secondary,ثانوي,Non-Bahraini,غير بحريني,Male,ذكر,1803
25 - 29,25 - 29,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Male,ذكر,10615
60 - 64,60 - 64,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Male,ذكر,1623
65 Years & Above,65 سنة فأكثر,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Male,ذكر,745
20 - 24,20 - 24,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Male,ذكر,1569
25 - 29,25 - 29,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Male,ذكر,9267
50 - 54,50 - 54,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Male,ذكر,5165
40 - 44,40 - 44,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Male,ذكر,2692
55 - 59,55 - 59,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Male,ذكر,731
25 - 29,25 - 29,Masters,ماجستير,Non-Bahraini,غير بحريني,Male,ذكر,756
50 - 54,50 - 54,Masters,ماجستير,Non-Bahraini,غير بحريني,Male,ذكر,738
25 - 29,25 - 29,Doctorate,دكتوراه,Non-Bahraini,غير بحريني,Male,ذكر,28
65 Years & Above,65 سنة فأكثر,Doctorate,دكتوراه,Non-Bahraini,غير بحريني,Male,ذكر,105
40 - 44,40 - 44,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Female,أنثى,179
50 - 54,50 - 54,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Female,أنثى,40
60 - 64,60 - 64,Illiterate / Read Only,أمي / يقرأ فقط,Non-Bahraini,غير بحريني,Female,أنثى,503
25 - 29,25 - 29,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Female,أنثى,3045
65 Years & Above,65 سنة فأكثر,Read & Write,يقرأ ويكتب,Non-Bahraini,غير بحريني,Female,أنثى,134
35 - 39,35 - 39,Primary,ابتدائي,Non-Bahraini,غير بحريني,Female,أنثى,3842
50 - 54,50 - 54,Primary,ابتدائي,Non-Bahraini,غير بحريني,Female,أنثى,1073
55 - 59,55 - 59,Primary,ابتدائي,Non-Bahraini,غير بحريني,Female,أنثى,1037
65 Years & Above,65 سنة فأكثر,Primary,ابتدائي,Non-Bahraini,غير بحريني,Female,أنثى,40
15 - 19,15 - 19,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Female,أنثى,4209
20 - 24,20 - 24,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Female,أنثى,1848
60 - 64,60 - 64,Preparatory,إعدادي,Non-Bahraini,غير بحريني,Female,أنثى,551
30 - 34,30 - 34,Secondary,ثانوي,Non-Bahraini,غير بحريني,Female,أنثى,7647
45 - 49,45 - 49,Secondary,ثانوي,Non-Bahraini,غير بحريني,Female,أنثى,6881
50 - 54,50 - 54,Secondary,ثانوي,Non-Bahraini,غير بحريني,Female,أنثى,4675
60 - 64,60 - 64,Secondary,ثانوي,Non-Bahraini,غير بحريني,Female,أنثى,736
15 - 19,15 - 19,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Female,أنثى,20
35 - 39,35 - 39,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Female,أنثى,2606
45 - 49,45 - 49,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Female,أنثى,1385
55 - 59,55 - 59,Above Secondary / Diploma,فوق الثانوي / دبلوم,Non-Bahraini,غير بحريني,Female,أنثى,616
25 - 29,25 - 29,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Female,أنثى,5106
40 - 44,40 - 44,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Female,أنثى,4290
45 - 49,45 - 49,Bachelor,بكالوريوس,Non-Bahraini,غير بحريني,Female,أنثى,2784
20 - 24,20 - 24,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Female,أنثى,86
40 - 44,40 - 44,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Female,أنثى,1000
45 - 49,45 - 49,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Female,أنثى,546
55 - 59,55 - 59,High Diploma,دبلوم عالي,Non-Bahraini,غير بحريني,Female,أنثى,189
